,,old,,,,,,,,,,,,,new,,,,,,,,,,,,,,,,,,,
name,pretty_name,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,,ergonomics,weight,horizontal_recoil,vertical_recoil,magazine_capacity,barrel_deviation,bullet_damage,bullet_velocity,buck_bullet_deviation,fire_rate,price,strength,,irl weight (oz),converted weight,,base,length,mod,
AK308,Kalashnikov Concern AK-308,10,1.2,95,115,0,0.76,0.7,1300,,,65000,-138.07,,10,0.7,90,110,0,0.75,0.8,1600,,,65000,-115.92,,,,,,,,
ak308_std_415mm_barrel,AK-308 415mm 7.62x51,0,0.4,-4,-2,,0.25,0,350,,,500,-6.18,,0,0.92,0,0,,0.25,0,0,,,500,-22.15,,,,,0.3,16.3386,,0.9208668
custom_ak308_7.62x51_415mm_threaded_barrel,Custom AK-308 415mm Threaded 7.62x51,-4,0.4,-4,0,,0.3,0.05,100,,,1000,-10.97,,-1,0.92,2,2,,0.35,0,-50,,,1000,-27.62,,,,,0.3,16.3386,,0.9208668
ak308_7.62x51_muzzle_brake,Kalashnikov Concern AK-308,-0.5,0.06,-8,-5,,0.05,0.05,50,,,0,9.12,,-1,0.06,-9,-12,,0.05,0,50,,,0,11.62,,,,,,,,0
,,,,,,,,,,,,,0.00,,,,,,,,,,,,,0.00,,,,,,,,0
G3,H&K G3,44,0.5,70,100,0,0.41,0.75,1700,,,30000,-52.48,,45,0.3,70,100,0,0.4,0.8,1700,,,30000,-45.33,,,,,,,,0
hk_g3_406mm_barrel,HK G3 406mm 7.62x51,2,0.5,2,4,,0,0,70,,,0,-11.77,,0,0.71,0,0,,0,0,70,,,0,-13.97,,,,,0.1,15.9843,,0.7074034
hk_g3_457mm_barrel,HK G3 457mm 7.62x51,-6,0.6,-2,-3,,-0.2,0.15,143,,,800,-5.12,,-3,0.78,-1,-1,,-0.1,0.03,143,,,800,-14.02,,,,,0.1,17.9921,,0.7836998
hk_msg90a1_threaded_600mm_barrel,HK MSG90A1 Threaded 600mm Barrel,-4,0.67,0,3,,-0.3,0.2,410,,,4800,-5.33,,-6,1,-2,-2,,-0.25,0.11,410,,,4800,-13.68,,,,,0.1,23.622,,0.997636
hk_psg1_bull_650mm_barrel,HK PSG-1 Bull 650mm 7.62x51,-4,0.7,-2,0,,-0.4,0.25,509,,,4500,1.30,,-5,1.07,-1,-1,,-0.35,0.14,509,,,4500,-12.45,,,,,0.1,25.5906,,1.0724428
fr_ordnance_mc51_211mm_7.62x51_barrel,FR Ordnance MC51 211mm 7.62x51,8,0.35,7,9,,0.3,-0.04,-331,,,3500,-17.20,,4,0.41,10,10,,0.45,-0.05,-331,,,3500,-28.05,,,,,0.1,8.30709,,0.41566942
fr_ordnance_mc51k_145mm_7.62x51_barrel,FR Ordnance MC51k 145mm 7.62x51,14,0.24,11,13,,0.4,-0.14,-561,,,1500,-20.87,,20,0.32,11,11,,0.55,-0.15,-561,,,1500,-17.92,,,,,0.1,5.70866,,0.31692908
fr_ordnance_mc51sd_125mm_7.62x51_barrel,FR Ordinance MC51SD 125mm 7.62x51,16,0.22,12,8,,0.5,-0.15,-652,,,2500,-18.47,,14,0.29,14,14,,0.6,-0.16,-652,,,2500,-28.97,,,,,0.1,4.92126,,0.28700788
fr_ordnance_mc51sd_suppressor,FR Ordinance MC51SD Suppressor,-7,0.25,-7,-6,,-0.3,0.2,90,,,5000,10.00,,-6,0.26,-6,-6,,-0.1,0.16,90,,,5000,5.40,,,,,,,,0
hughes_precision_m15x1rh_to_5_8x24_thread_adapter,Hughes Precision M15x1RH to 5/8x24 Thread,-1,0.09,0,0,,0.2,-0.05,100,,,1000,-7.47,,-1,0.09,1,1,,0.1,0,-50,,,1000,-5.87,,,,,,,,0
hk_bird_cage_flash_hider_m15x1rh,HK Bird Cage Style M15x1RH 7.62x51 NATO,-2,0.05,-6,-5,,0,0.05,50,,,0,6.97,,1,0.05,-9,-7,,0,0,50,,,0,11.57,,,,,,,,0
,,,,,,,,,,,,,0.00,,,,,,,,,,,,,0.00,,,,,,,,0
SA58,DS Arms SA-58,41,1.08,66,99,0,0.66,0.75,1550,,,20000,-67.53,,40,0.8,70,100,0,0.8,0.8,1550,,,20000,-66.83,,,,,,,,0
dsa_sa58_305mm_barrel,"DSA SA-58 12""",12,0.38,9,13,,0.25,-0.05,-131,,,750,-16.79,,11,0.65,7,7,,0.15,-0.06,-131,,,750,-16.89,,,,,0.2,12,,0.656
dsa_sa58_330mm_barrel,"DSA SA-58 13""",6,0.42,7,11,,0.2,0.05,-81,,,500,-15.87,,6,0.69,4,4,,0.1,-0.04,-81,,,500,-16.77,,,,,0.2,13,,0.694
dsa_sa58_406mm_fluted_barrel,"DSA SA-58 16"" Fluted",0,0.52,4,8,,0.15,0.08,46,,,400,-17.30,,1,0.81,1,1,,0,0,46,,,400,-16.45,,,,,0.2,16,,0.808
dsa_sa58_406mm_barrel,"DSA SA-58 16""",-6,0.55,2,4,,0.15,0.08,71,,,0,-19.81,,0,0.86,0,0,,0,0,71,,,0,-16.96,,,,,0.25,16,,0.858
dsa_sa58_457mm_barrel,"DSA SA-58 18""",-14,0.65,-2,-4,,0,0.15,143,,,750,-16.52,,-4,0.93,-2,-2,,-0.1,0.03,143,,,750,-16.62,,,,,0.25,18,,0.934
dsa_sa58_533mm_barrel,"DSA SA-58 21""",-20,0.8,-4,-6,,-0.05,0.18,238,,,1000,-20.46,,-9,1.05,-4,-4,,-0.2,0.08,238,,,1000,-17.41,,,,,0.25,21,,1.048
,,,,,,,,,,,,,0.00,,,,,,,,,,,,,0.00,,,,,,,,0
SCARH,FN SCAR Mk17,16,0.15,75,75,0,0.2,0.9,1650,,,75000,-53.50,,25,0,75,75,0,0.4,0.8,1650,,,75000,-48.50,,,,,,,,0
hi_desertdog_hdd_tactical_scarh_267mm_7.62x51_barrel,Hi-desertdog HDD Tactical Scar H 267mm Barrel,24,0.3,11,8,,0.45,-0.16,-187,,0.05,1500,-9.37,,14,0.5,8,8,,0.2,-0.08,-187,,0.05,1500,-14.02,,,,,0.1,10.5118,,0.4994484
fn_scar_h_330mm_barrel,FN SCAR-H 330mm,12,0.38,8,6,,0.3,-0.12,-57,,,1200,-15.09,,6,0.59,3,4,,0.1,-0.04,-57,,,1200,-13.89,,,,,0.1,12.9921,,0.5936998
fn_scar_h_406mm_barrel,FN SCAR-H 406mm,5,0.49,4,5,,0.2,-0.07,70,,,1000,-16.57,,0,0.71,0,0,,0,0,70,,,1000,-13.97,,,,,0.1,15.9843,,0.7074034
deadshot_scar20_spiral_406mm_threaded_barrel,"Deadshot FN SCAR 20 Spiral 16"" Threaded",3,0.51,7,7,,0.07,-0.04,171,,,1500,-19.08,,-1,0.69,-1,1,,-0.05,0.01,171,,,1500,-12.88,,,,,0.1,16,,0.708
fn_scar_h_508mm_barrel,FN SCAR-H 508mm,-6,0.54,2,2,,0.1,0,208,,,1500,-20.41,,-5,0.86,-3,-3,,-0.1,0.06,208,,,1500,-13.41,,,,,0.1,20,,0.86
deadshot_scar20_spiral_508mm_threaded_barrel,"Deadshot FN SCAR 20 Spiral 20"" Threaded",0,0.61,7,11,,0,0.05,358,,,2000,-21.21,,-7,0.84,-4,-2,,-0.15,0.07,358,,,2000,-13.16,,,,,0.1,20,,0.86
fn_scar_mk20_508mm_barrel,FN SCAR Mk20 508mm,-2,0.65,9,8,,-0.1,0.1,308,,,1500,-20.47,,-3,0.91,2,2,,-0.3,0.09,308,,,1500,-14.87,,,,,0.1,20,,0.86
,,,,,,,,,,,,,0.00,,,,,,,,,,,,,0.00,,,,,,,,
dsa_3prong_trident_7.62x51_flash_hider,DSA 3-Prong Trident 7.62x51,-1,0.05,-3,-5,,0.05,0,30,,,0,2.75,,1,0.03,-7,-10,,0,0,30,,,0,12.10,,,,,,,,0
fn_fal_austrian_7.62x51_stg58_flash_hider,FN FAL Austrian STG58 7.62x51,-2.5,0.15,-4,-6,,-0.05,0,130,,,500,2.48,,1,0.09,-9,-10,,0,0,130,,,500,12.83,,,,,,,,0
fn_fal_7.62x51_belgian_flash_hider,FN FAL Belgian Style 7.62x51,-2,0.07,-2,-7,,0,0,50,,,500,2.57,,0,0.06,-11,-7,,0,0,50,,,500,11.97,,,,,,,,0
rhodesian_halbek_muzzle_device,Rhodesian Reproduction Halbek,-4,0.04,17,-34,,0.3,-0.1,0,,,1200,-6.50,,-3,0.04,10,-20,,0.2,-0.02,0,,,1200,-3.60,,,,,,,,0
fn_scar17_7.62x51_3prong_european_flash_hider,FN Scar Mk17 .308 3-Prong European,-0.5,0.06,-1,-5,,0,0,50,,,0,2.27,,1,0.06,-8,-11,,0,0,50,,,0,12.97,,,,,,,,
aac_scar_sd_blackout_51_tooth_flashhider_supp_mount,AAC SCAR-SD Blackout 51-Tooth Flash Hider,-0.5,0.08,-2,-5,,0,0,50,,,750,2.67,,1,0.07,-10,-9,,0,0,50,,,750,13.17,,4.25,0.06375,,,,,
lantac_dgn762b_asr_muzzle_brake,LANTAC DGM762B-ASR Muzzle Brake,-1,0.06,-6,-12,,0.12,-0.06,20,,,1000,5.67,,-1,0.06,-13,-13,,0.05,-0.01,20,,,1000,14.92,,4,0.06,,,,,
surefire_socom762_sfmb_muzzle_brake,Surefire SOCOM762 SFMB Muzzle Break,-1,0.08,-11,-8,,0.15,-0.1,30,,,900,4.85,,-1,0.06,-16,-11,,0.07,-0.03,30,,,900,15.05,,3.9,0.0585,,,,,
strike_industries_jcomp_gen2_7.62x51_muzzle_brake,Strike Industries JCOMP Gen2 7.62x51 Muzzle Brake,-1,0.07,-9,-10,,0.2,-0.08,30,,,500,4.70,,-1,0.05,-12,-15,,0.1,-0.02,30,,,500,14.40,,3.6,0.054,,,,,
