,,old,,,,,,,,,,,,,new,,,,,,,,,,,,,,,,,
name,pretty_name,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,,ergonomics,weight,horizontal_recoil,vertical_recoil,magazine_capacity,bullet_deviation,bullet_damage,bullet_velocity,buck_bullet_deviation,fire_rate,price,strength,,loaded weight (oz),unloaded weight (oz),formula,,
5.56x45_magpul_pmag_m3_10r,Magpul PMAG M3 5.56x45 10R,14,0.13,,,10,,,,,,500,19.09230769,,12,0.17,,,10,,,,,,500,16.29230769,,7.2,3,0.18,,
5.56x45_steyr_aug_austrian_10r,Steyr AUG A3 Austrian 5.56x45 10R,10,0.15,,,10,,,,,,500,14.69230769,,11,0.18,,,10,,,,,,500,15.09230769,,,,0,,
5.56x45_magpul_pmag_m3_20r,Magpul PMAG M3 5.56x45 20R,3,0.25,,,20,,,,,,750,13.38461538,,6,0.31,,,20,,,,,,750,15.18461538,,12.5,4.1,0.3125,,
5.56x45_brwnls_stanag_ss_20r,Brownells STANAG SS Mag 5.56x45 20R,5,0.3,,,20,,,,,,600,14.38461538,,5,0.29,,,20,,,,,,600,14.58461538,,11.2,2.8,0.28,,
5.56x45_brwnls_stanag_25r,Brownells STANAG Mag 5.56x45 25R,2.5,0.38,,,25,,,,,,750,14.13076923,,3,0.36,,,25,,,,,,750,15.03076923,,,,0,,
5.56x45_colt_ar15_stanag_30r,Colt STANAG AR15 30R,-1,0.45,,,30,,,,,,500,13.07692308,,0,0.42,,,30,,,,,,500,14.67692308,,17,,0.425,,
5.56x45_magpul_pmag_m3_30r,Magpul PMAG M3 5.56x45 30R,-1,0.4,,,30,,,,,,1000,14.07692308,,1,0.44,,,30,,,,,,1000,15.27692308,,17.7,5.1,0.4425,,
5.56x45_magpul_pmag_m3_windowed_30r,Magpul PMAG M3 5.56x45 Windowed 30R,1,0.39,,,30,,,,,,1500,16.27692308,,1,0.43,,,30,,,,,,1500,15.47692308,,,,0,,
5.56x45_magpul_pmag_aus_gen_m3_windowed_30r,Magpul PMAG AUS Gen M3 5.56x45 Windowed 30R,0,0.42,,,30,,,,,,1500,14.67692308,,1,0.44,,,30,,,,,,1500,15.27692308,,,,0,,
5.56x45_steyr_aug_austrian_30r,Steyr AUG A3 Austrian 5.56x45 30R,-1,0.42,,,30,,,,,,0,13.67692308,,1.5,0.46,,,30,,,,,,0,15.37692308,,,,0,,
5.56x45_hk_polymer_transparent_30r,HK Polymer 30R Transparent Mag,-1.5,0.42,,,30,,,,,,1300,13.17692308,,1,0.46,,,30,,,,,,1300,14.87692308,,18.6,6,0.465,,
5.56x45_fn_scar_30r,FN Scar 30R,-1,0.46,,,30,,,,,,1200,12.87692308,,0.5,0.43,,,30,,,,,,1200,14.97692308,,21.4,8.8,0.535,,
5.56x45_magpul_pmag_m3_40r,Magpul PMAG M3 5.56x45 40R,-10,0.55,,,40,,,,,,1600,9.769230769,,-6,0.58,,,40,,,,,,1600,13.16923077,,23.1,6.2,0.5775,,
5.56x45_steyr_aug_austrian_42r,Steyr AUG A3 Austrian 5.56x45 42R,-6,0.57,,,42,,,,,,1600,14.90769231,,-7,0.6,,,42,,,,,,1600,13.30769231,,,,0,,
5.56x45_x15m_drum_50r,X-15M Drum,-7,0.61,,,50,,,,,,3000,19.26153846,,-8,1.07,,,50,0.1,,,,,3000,8.561538462,,43,23,1.075,,
5.56x45_magpul_pmag_60r,Magpul PMAG D60 60R Drum,-10,0.9,,,60,0.1,,,,,4000,17.65384615,,-12,1.15,,,60,0.1,,,,,4000,10.65384615,,46,20.5,1.15,,
5.56x45_surefire_mag560_60r_mag,Surefire MAG560 60R Magazine,-9,0.82,,,60,0.1,,,,,3500,20.25384615,,-16,0.9,,,60,0.1,,,,,4000,11.65384615,,35.2,6.4,0.88,,
5.56x45_surefire_mag5100_100r_mag,Surefire MAG5100 100R Magazine,-16,1.16,,,100,0.15,,,,,6000,36.97307692,,-25,1.32,,,100,0.15,,,,,5500,24.77307692,,52.8,9.6,1.32,,
,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,
aeroknox_plus_5_pmag_mag_extension,Aeroknox Plus 5 PMAG Magazine Extension,-2,0.06,,,5,,,,,,400,0.646153846,,-2,0.08,,,5,,,,,,400,0.246153846,,,,,,
stanag_30r_plate,STANAG 30R Mag Bottom Plate,1,0.015,,,,,,,,,0,0.7,,0,0.02,,,,,,,,,0,-0.4,,,,,,
stanag_bottom_plate,STANAG Straight Mag Bottom Plate,1,0.015,,,,,,,,,0,,,0,0.02,,,,,,,,,0,-0.4,,,,,,
