,,new,,,,,,,,,,,
name,pretty_name,ergonomics,weight,horizontal_recoil,vertical_recoil,magazine_capacity,barrel_deviation,bullet_damage,bullet_velocity,buck_barrel_deviation,fire_rate,price,strength
hk_g3_sef_metal_trigger_housing,HK G3 SEF Metal Trigger,0,0.55,0,0,,,,,,,0,-11
hk_psg1_metal_trigger_housing,HK PSG-1 Metal Trigger,2,0.58,1,1,,,,,,,2000,-11
ptr_32_sef_metal_trigger_housing,PTR 32 SEF Metal Trigger Housing,-1,0.53,-1,0,,,,,,,500,-10.8
aeroknox_ax_mp5_modified_trigger_housing,Aeroknox AX MP5 Modified Trigger Housing,-3,0.5,0,0,,,,,,,1250,-13
,,,,,,,,,,,,,0
hk_mp5_plastic_4_position_trigger_housing,HK MP5 Plastic 4 Position Trigger Housing,0,0.38,0,0,,,,,,,0,-7.6
hk_mp5_sef_polymer_contoured_trigger_housing,HK MP5 SEF Polymer Contoured Trigger Housing,2,0.4,0,0,,,,,,,1500,-6
hk_mp5_hk94_sef_metal_trigger_housing,HK MP5/HK94 SEF Metal Trigger Housing,-1,0.38,2,4,,,,,,,1750,-12.6
aeroknox_ax_mp5_trigger_housing,Aeroknox AX MP5 Trigger Housing,-3,0.36,3,3,,,,,,,1000,-14.4
,,,,,,,,,,,,,0
hk_g3_plastic_pistol_grip,HK G3 Plastic,4,0.08,-3,-4,,,,,,,0,7.2
hk_psg1_wooden_grip,HK PSG-1 Wooden Grip,5,0.1,0,0,,,,,,,1000,3
hk_psg1_grip_palm_rest,HK PSG-1 Grip Palm Rest,2,0.05,,,,,,,,,0,1
,HK Battle,5,0.08,-5,-4,,,,,,,800,9.8
,,,,,,,,,,,,,0
,HK G3 SEF Metal Trigger,4,0.63,-3,-4,0,0,0,0,0,0,0,-3.8
,HK PSG-1 Metal Trigger,6,0.66,-2,-3,0,0,0,0,0,0,2000,-3.8
,PTR 32 SEF Metal Trigger Housing,3,0.61,-4,-4,0,0,0,0,0,0,500,-3.6
,Aeroknox AX MP5 Modified Trigger Housing,2,0.58,-5,-4,0,0,0,0,0,0,2050,-3.2
,,,,,,,,,,,,,0
,HK MP5 Plastic 4 Position Trigger Housing,0,0.38,0,0,0,0,0,0,0,0,0,-7.6
,HK MP5 SEF Polymer Contoured Trigger Housing,2,0.4,0,0,0,0,0,0,0,0,1500,-6
,HK MP5/HK94 SEF Metal Trigger Housing,3,0.46,-1,0,0,0,0,0,0,0,1750,-5.4
,Aeroknox AX MP5 Trigger Housing,2,0.44,-2,-1,0,0,0,0,0,0,1800,-4.6
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
