,,new,,,,,,,,,,,,,,,,
name,pretty_name,ergonomics,weight,horizontal_recoil,vertical_recoil,magazine_capacity,bullet_deviation,bullet_damage,bullet_velocity,buck_bullet_deviation,fire_rate,price,strength,,irl weight,weight formula,irl price,
swampfox_picatinny_rmr_footprint_mount,Swampfox Picatinny RMR Mount,0,0.02,,,,,,,,,200,-0.4,,,0.02,,
trijicon_rm33_mount,Trijicon RM33 RMR Mount,0,0.02,,,,,,,,,300,-0.4,,,0.02,,
trijicon_ac32062_mount,Trijicon AC32062 RMR Mount,-0.5,0.05,,,,,,,,,350,-1.5,,,0.02,,
trijicon_rmr_rm06_type2_adj_led_reflex,Trijicon RM06 RMR Type2 Adjustable LED Reflex,-2,0.04,,,,,,,,,1100,-2.8,,1.2,0.0356,479.99,
trijicon_rmr_rm05_dual_illuminated_reflex,Trijicon RM05 RMR Dual Illuminated Reflex,-2,0.04,,,,,,,,,1200,-2.8,,1.2,0.0356,499.39,
trijicon_rmr_rm01_type2_auto_led_reflex,Trijicon RM01 RMR Type2 Auto LED Reflex,-2,0.04,,,,,,,,,1000,-2.8,,1.2,0.0356,448.52,
swampfox_kingslayer_micro_reflex_sight,Swampfox Kingslayer Micro Reflex Sight,-2,0.04,,,,,,,,,800,-2.8,,1,0.033,160,
,,,,,,,,,,,,,0,,,0.02,,
leupold_deltapoint_pro_cross_slot,Leupold DeltaPoint Pro Cross Slot,0,0.02,,,,,,,,,200,-0.4,,,0.02,,
leupold_deltapoint_pro_ar_dloc,Leupold DeltaPoint PRO DLOC,0,0.05,,,,,,,,,250,-1,,,0.02,,
leupold_deltapoint_pro_ar,Leupold DeltaPoint PRO AR,0,0.07,,,,,,,,,300,-1.4,,,0.02,,
leupold_deltapoint_reflex_sight,Leupold DeltaPoint Reflex,-2,0.04,,,,,,,,,800,-2.8,,,0.02,,
leupold_deltapoint_pro_sight,Leupold DeltaPoint Pro,-1.5,0.05,,,,,,,,,1200,-2.5,,1.9,0.0447,,
eotech_eflx_mini_red_dot,Eotech EFLX Mini Red Dot,-1.5,0.05,,,,,,,,,1100,-2.5,,1.4,0.0382,,
,,,,,,,,,,,,,0,,,0.02,,
sig_sauer_qd_1.41_cowitness_romeo3_riser,Sig Sauer QD 1.41 co-witness Romeo 3,0,0.04,,,,,,,,,300,-0.8,,,0.02,,
sig_sauer_romeo3_low_rise_mount,Sig Sauer Romeo 3 Low-Rise,0,0.02,,,,,,,,,200,-0.4,,,0.02,,
sig_sauer_romeo3,Sig Sauer Romeo3 Sight,-1.5,0.05,,,,,,,,,900,-2.5,,,0.02,,
