,,old,,,,,,,,,,,,,new,,,,,,,,,,,
name,pretty_name,ergonomics_old,weight_old,horizontal_recoil_old,vertical_recoil_old,magazine_capacity_old,bullet_deviation_old,bullet_damage_old,bullet_velocity_old,buck_bullet_deviation_old,fire_rate_old,price_old,strength_old,,ergonomics,weight,horizontal_recoil,vertical_recoil,magazine_capacity,bullet_deviation,bullet_damage,bullet_velocity,buck_bullet_deviation,fire_rate,price,strength
Remington870,Remington 870 Express,20,0.9,90,90,1,0.8,1,1000,5,,20000,,,12,0.9,99,99,1,0.8,1,1000,5,,20000,
,,,,,,,,,,,,,,,,,,,,,,,,,,
r870_sps_polymer_stock,Remington SPS Polymer,4,0.2,-3,-3,,,,,,,750,4.2,,15,0.2,-12,-12,,,,,,,750,27.8
r870_shockwave_raptor_pistol_grip,Shockwave Raptor Rem870,12,0.06,2,5,,,,,,,1000,6.2,,28,0.1,10,10,,,,,,,1000,12
r870_mesa_tactical_leo_stock_adapter,Mesa Tactical Rem870 LEO,-4,0.14,0,-1,,,,,,,1000,-6.2,,-2,0.09,2,2,,,,,,,1000,-6.6
,,,,,,,,,,,,,0,,,,,,,,,,,,,0
agr_870_pistol_grip,FAB Defense AGR-870,4,0.08,-3,-2,,,,,,,1000,6,,-1,0.08,1,1,,,,,,,1000,-4
agr_870_protection_cap,AGR 870,2,0.02,,,,,,,,,100,1.6,,24,0.02,4,4,,,,,,,100,18
agr_870_buffer_tube,AGR-870,-4,0.19,,,,,,,,,500,-7.8,,-1,0.05,-2,-2,,,,,,,500,0.8
,,,,,,,,,,,,,0,,,,,,,,,,,,,0
fightlite_scr_wooden_rifle_stock,Fightlite SCR Wooden Rifle Stock,12,0.2,-10,-14,,,,,,,1000,24.4,,12,0.2,-10,-14,,,,,,,1000,24.4
fightlite_scr_high_impact_polymer_stock,Fightlite SCR High Impact Polymer Stock,15,0.16,-8,-10,,,,,,,1100,24.2,,15,0.16,-8,-10,,,,,,,1100,24.2
fightlite_scr_rubber_buttpad,Fightlite SCR Rubber Buttpad,2,0.04,-1,-2,,,,,,,0,3.2,,2,0.04,-1,-2,,,,,,,0,3.2
,,,,,,,,,,,,,0,,,,,,,,,,,,,0
magpul_moe_870_sga_polymer_stock,Magpul MOE 870 SGA Polymer,9,0.22,-1,0,,,,,,,1200,5.4,,16,0.2,-10,-10,,,,,,,1200,26
hunter_cheekrest_.25_sga,Hunter Cheek Rest .25 for SGA,0.5,0.02,,,,,,,,,0,0.1,,0.5,0.02,,,,,,,,,0,0.1
hunter_cheekrest_flat_sga,Hunter Cheek Rest Flat for SGA,1,0.03,,,,,,,,,0,0.4,,1,0.03,,,,,,,,,0,0.4
hunter_cheekrest_.75_sga,Hunter Cheek Rest .75 for SGA,1.5,0.04,,,,,,,,,0,0.7,,1.5,0.04,,,,,,,,,0,0.7
hunter_cheekrest_.5_sga,Hunter Cheek Rest .5 for SGA,2,0.05,,,,,,,,,0,1,,2,0.05,,,,,,,,,0,1
,,,,,,,,,,,,,0,,,,,,,,,,,,,0
,Example AR Grip (PMM Scar),6,0.08,-2,-6,,,,,,,600,9.6,,6,0.08,-2,-6,,,,,,,600,9.6
,Example Buffer Stock (MOE Carbine),17,0.19,-9,-8,,,,,,,800,25.2,,17,0.19,-9,-8,,,,,,,800,25.2
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Remington SPS SUMMED,4,0.2,-3,-3,0,0,0,0,0,0,750,4.2,0,15,0.2,-12,-12,0,0,0,0,0,0,750,27.8
,Shockwave Raptor SUMMED,12,0.06,2,5,0,0,0,0,0,0,1000,6.2,0,28,0.1,10,10,0,0,0,0,0,0,1000,12
,Mesa Tactical SUMMED,19,0.41,-11,-15,0,0,0,0,0,0,2400,28.6,0,21,0.36,-9,-12,0,0,0,0,0,0,2400,28.2
,FAB Defense SUMMED,6,0.1,-3,-2,0,0,0,0,0,0,1100,7.6,0,23,0.1,5,5,0,0,0,0,0,0,1100,14
,FAB Defense w/ stock SUMMED,17,0.46,-12,-10,0,0,0,0,0,0,2300,23.4,0,15,0.32,-10,-9,0,0,0,0,0,0,2300,22
,SCR Wooden SUMMED,12,0.2,-10,-14,0,0,0,0,0,0,1000,24.4,0,12,0.2,-10,-14,0,0,0,0,0,0,1000,24.4
,SCR High Impact SUMMED,17,0.2,-9,-12,0,0,0,0,0,0,1100,27.4,0,17,0.2,-9,-12,0,0,0,0,0,0,1100,27.4
,Magpul MOE SUMMED,11,0.27,-1,0,0,0,0,0,0,0,1200,6.4,0,18,0.25,-10,-10,0,0,0,0,0,0,1200,27
,,,,,,,,,,,,,,,,,,,,,,,,,,
,note: summed just means the relevant parts of one attachment option added together. don't edit the summed stats. edit the actual attachments and use summed stats (especially strength scores) as a guide,,,,,,,,,,,,,,,,,,,,,,,,,
