,,new,,,,,,,,,,,
name,pretty_name,ergonomics,weight,horizontal_recoil,vertical_recoil,magazine_capacity,barrel_deviation,bullet_damage,bullet_velocity,buck_bullet_deviation,fire_rate,price,strength
kac_2rib_railpanel,KAC 2 Rib,0.25,0.01,,,,,,,,,100,0.05
kac_4rib_railpanel,KAC 4 Rib,0.5,0.02,,,,,,,,,200,0.1
kac_5rib_railpanel,KAC 5 Rib,0.75,0.03,,,,,,,,,300,0.15
kac_6rib_railpanel,KAC 6 Rib,1,0.04,,,,,,,,,400,0.2
kac_9rib_railpanel,KAC 9 Rib,1.25,0.05,,,,,,,,,500,0.25
kac_11rib_railpanel,KAC 11 Rib,1.5,0.06,,,,,,,,,600,0.3
,,,,,,,,,,,,,0
magpul_xtm_enhanced_half_panel_1,Magpul XTM Enhanced Modular Half Panel Piece,0.25,0.01,,,,,,,,,50,0.05
magpul_xtm_enhanced_panel_1,Magpul XTM Enhanced Modular Panel Piece,0.5,0.02,,,,,,,,,50,0.1
xtm_2_piece,Magpul XTM 2-Piece Panel,1,0.04,,,,,,,,,200,0.2
xtm_4_piece,Magpul XTM 4-Piece Panel,2,0.08,,,,,,,,,400,0.4
,,,,,,,,,,,,,0
daniel_defense_3inch_picatinny_rail_panel,Daniel Defense 3 inch Picatinny Rail Panel,0.75,0.03,,,,,,,,,300,0.15
daniel_defense_5inch_picatinny_rail_panel,Daniel Defense 5 inch Picatinny Rail Panel,1.25,0.05,,,,,,,,,500,0.25
daniel_defense_7inch_picatinny_rail_panel,Daniel Defense 7 inch Picatinny Rail Panel,1.75,0.07,,,,,,,,,700,0.35
