,,old,,,,,,,,,,,,,new,,,,,,,,,,,
name,pretty_name,ergonomicsold,weightold,horizontal_recoilold,vertical_recoilold,magazine_capacityold,bullet_deviationold,bullet_damageold,bullet_velocityold,buck_bullet_deviationold,fire_rateold,priceold,,,ergonomics,weight,horizontal_recoil,vertical_recoil,magazine_capacity,bullet_deviation,bullet_damage,bullet_velocity,buck_bullet_deviation,fire_rate,price,
fn_scar_stock_connector,FN SCAR,0,0.04,0,0,,,,,,,0,-0.8,,0,0.07,0,0,,,,,,,0,-1.4
fn_scar_ssr_stock_assembly,FN SCAR SSR,21,0.2,-1,1,,,,,,,600,17.2,,21,0.48,-2,-2,,,,,,,600,14.2
kinetic_development_group_sas_acr_stock_scar_adapter,Kinetic Development Group SAS Adaptive ACR Stock Connector,-0.5,0.03,0,0,,,,,,,300,-1.1,,-1,0.07,0,0,,,,,,,300,-2.4
mesa_tactical_faro_scar_buffer_tube_adapter,Mesa Tactical Faro Scar Buffer Tube Adapter,-6,0.15,2,4,,0.1,,,,,450,-13.5,,-5,0.06,2,2,,0.1,,,,,450,-9.5
fn_scar_sc_stock_adapter,FN Scar SC Stock Adaptor,1,0.04,,,,,,,,,1500,0.2,,1,0.08,0,0,,,,,,,1500,-0.6
,,,,,,,,,,,,,0,,,,,,,,,,,,,0
fn_scar_stock_cheek_piece,FN SCAR,4,0.1,-3,-2,,,,,,,0,5.6,,3,0.14,,,,,,,,,0,0.2
fn_scar_stock_shoulder_piece,FN SCAR,5,0.1,-6,-10,,,,,,,0,13.8,,7,0.16,-9,-12,,,,,,,0,18.2
,,,,,,,,,,,,,0,,,,,,,,,,,,,0
kinetic_development_group_sas_acr_stock_retractor,Kinetic Development Group SAS Adaptive ACR Retractor,-1,0.03,-1,-1,,,,,,,0,-0.2,,0,0.09,,,,,,,,,0,-1.8
kinetic_development_group_sas_acr_stock_cheek_pad,Kinetic Development Group SAS Adaptive ACR Stock,5,0.04,0,-1,,,,,,,0,4.8,,4,0.04,,,,,,,,,0,3.2
kinetic_development_group_sas_acr_stock,Kinetic Development Group SAS Adaptive ACR Stock,9.5,0.09,-9,-5,,,,,,,1000,17.9,,10,0.13,-10,-7,,,,,,,1000,19.6
,,,,,,,,,,,,,0,,,,,,,,,,,,,0
haga_defense_scar_acr_tailhook_adapter,Haga Defense SCAR ACR Tailhook,0,0.06,0,-2,,,,,,,600,0,,0,0.06,,,,,,,,,600,-1.2
ghw_tailhook_mod1_brace_small,GHW Tailhook MOD 1,12,0.1,-10,2,,,,,,,400,16.8,,11,0.09,-5,-5,,,,,,,400,16.2
ghw_tailhook_mod1_brace_big,GHW Tailhook MOD 1,12,0.1,-10,2,,,,,,,400,16.8,,11,0.09,-5,-5,,,,,,,400,16.2
,,,,,,,,,,,,,0,,,,,,,,,,,,,0
fn_scar_sc_stock_adjustment_lever,FN Scar SC Stock Adjustment Lever,2,,,,,,,,,,,2,,2,0.02,,,,,,,,,,1.6
fn_scar_sc_stock_cheekpad,FN Scar SC Stock Cheekpad,4,0.03,,,,,,,,,,3.4,,4,0.04,,,,,,,,,,3.2
fn_scar_sc_stock_buttpad,FN Scar SC Stock Buttpad,7,0.06,-4,-3,,,,,,,,10.8,,7,0.1,-7,-8,,,,,,,,15.4
fn_scar_sc_stock_adjustment_rail,FN Scar SC Stock Adjustment Rail,1,0.03,,,,,,,,,,0.4,,0,0.07,,,,,,,,,,-1.4
,,,,,,,,,,,,,0,,,,,,,,,,,,,0
,MOE Carbine,17,0.36,-11,-10,0,0,0,0,0,0,1400,24.6,,17,0.36,-11,-10,0,0,0,0,0,0,1400,24.6
,,,,,,,,,,,,,0,,,,,,,,,,,,,0
,SCAR,9,0.24,-9,-12,0,0,0,0,0,0,0,18.6,,10,0.37,-9,-12,0,0,0,0,0,0,0,17
,SCAR SSR,21,0.2,-1,1,0,0,0,0,0,0,600,17.2,,21,0.48,-2,-2,0,0,0,0,0,0,600,14.2
,ACR,13,0.19,-10,-7,0,0,0,0,0,0,1300,21.4,,13,0.33,-10,-7,0,0,0,0,0,0,1300,18.6
,ACR brace,15.5,0.26,-11,-2,0,0,0,0,0,0,1300,20.3,,14,0.35,-5,-5,0,0,0,0,0,0,1300,14
,SC,15,0.16,-4,-3,0,0,0,0,0,0,1500,16.8,,14,0.31,-7,-8,0,0,0,0,0,0,1500,18.2
,buffer,11,0.51,-9,-6,0,0.1,0,0,0,0,1850,11.1,,12,0.42,-9,-8,0,0.1,0,0,0,0,1850,15.1
