,,old,,,,,,,,,,,,,new,,,,,,,,,,,
name,pretty_name,ergonomics_old,weight_old,horizontal_recoil_old,vertical_recoil_old,magazine_capacity_old,bullet_deviation_old,bullet_damage_old,bullet_velocity_old,buck_bullet_deviation_old,fire_rate_old,price_old,strength_old,,ergonomics,weight,horizontal_recoil,vertical_recoil,magazine_capacity,bullet_deviation,bullet_damage,bullet_velocity,buck_bullet_deviation,fire_rate,price,strength
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
r870_sps_polymer_stock,Remington SPS Polymer,4,0.2,-3,-3,,,,,,,750,4.2,,14,0.22,-12,-12,,,,,,,750,26.4
r870_shockwave_raptor_pistol_grip,Shockwave Raptor Rem870,12,0.06,2,5,,,,,,,1000,6.2,,15,0.08,6,6,,,,,,,1000,5
r870_mesa_tactical_leo_stock_adapter,Mesa Tactical Rem870 LEO,-4,0.14,0,-1,,,,,,,1000,-6.2,,-2,0.17,2,2,,,,,,,1000,-8.2
,,,,,,,,,,,,,0,,,,,,,,,,,,,0
agr_870_pistol_grip,FAB Defense AGR-870,4,0.08,-3,-2,,,,,,,1000,6,,0,0.11,-3,-3,,,,,,,1000,2
agr_870_protection_cap,AGR 870,2,0.02,,,,,,,,,100,1.6,,16,0.02,8,8,,,,,,,100,4.4
agr_870_buffer_tube,AGR-870,-4,0.19,,,,,,,,,500,-7.8,,-1,0.1,-2,-2,,,,,,,500,-0.2
,,,,,,,,,,,,,0,,,,,,,,,,,,,0
fightlite_scr_wooden_rifle_stock,Fightlite SCR Wooden Rifle Stock,12,0.2,-10,-14,,,,,,,1000,24.4,,13,0.25,-11,-16,,,,,,,1000,26.4
fightlite_scr_high_impact_polymer_stock,Fightlite SCR High Impact Polymer Stock,15,0.16,-8,-10,,,,,,,1100,24.2,,15,0.2,-8,-10,,,,,,,1100,23.4
fightlite_scr_rubber_buttpad,Fightlite SCR Rubber Buttpad,2,0.04,-1,-2,,,,,,,0,3.2,,2,0.04,-1,-2,,,,,,,0,3.2
,,,,,,,,,,,,,0,,,,,,,,,,,,,0
magpul_moe_870_sga_polymer_stock,Magpul MOE 870 SGA Polymer,9,0.22,-1,0,,,,,,,1200,5.4,,16,0.22,-10,-10,,,,,,,1200,25.6
hunter_cheekrest_.25_sga,Hunter Cheek Rest .25 for SGA,0.5,0.02,,,,,,,,,0,0.1,,0.5,0.02,,,,,,,,,0,0.1
hunter_cheekrest_flat_sga,Hunter Cheek Rest Flat for SGA,1,0.03,,,,,,,,,0,0.4,,1,0.03,,,,,,,,,0,0.4
hunter_cheekrest_.75_sga,Hunter Cheek Rest .75 for SGA,1.5,0.04,,,,,,,,,0,0.7,,1.5,0.04,,,,,,,,,0,0.7
hunter_cheekrest_.5_sga,Hunter Cheek Rest .5 for SGA,2,0.05,,,,,,,,,0,1,,2,0.05,,,,,,,,,0,1
,,,,,,,,,,,,,0,,,,,,,,,,,,,0
,Example AR Grip (PMM Scar),6,0.08,-2,-6,,,,,,,600,9.6,,6,0.08,-2,-6,,,,,,,600,9.6
,Example Buffer Stock (MOE Carbine),18,0.34,-9,-10,,,,,,,800,24.4,,17,0.19,-9,-8,,,,,,,800,25.2
,,,,,,,,,,,,,0,,,,,,,,,,,,,
,Remington SPS SUMMED,4,0.2,-3,-3,0,0,0,0,0,0,750,4.2,0,14,0.22,-12,-12,0,0,0,0,0,0,750,26.4
,Shockwave Raptor SUMMED,12,0.06,2,5,0,0,0,0,0,0,1000,6.2,0,15,0.08,6,6,0,0,0,0,0,0,1000,5
,Mesa Tactical SUMMED,20,0.56,-11,-17,0,0,0,0,0,0,2400,27.8,0,21,0.44,-9,-12,0,0,0,0,0,0,2400,26.6
,FAB Defense SUMMED,6,0.1,-3,-2,0,0,0,0,0,0,1100,7.6,0,16,0.13,5,5,0,0,0,0,0,0,1100,6.4
,FAB Defense w/ stock SUMMED,18,0.61,-12,-12,0,0,0,0,0,0,2300,22.6,0,16,0.4,-14,-13,0,0,0,0,0,0,2300,27
,SCR Wooden SUMMED,12,0.2,-10,-14,0,0,0,0,0,0,1000,24.4,0,13,0.25,-11,-16,0,0,0,0,0,0,1000,26.4
,SCR High Impact SUMMED,17,0.2,-9,-12,0,0,0,0,0,0,1100,27.4,0,17,0.24,-9,-12,0,0,0,0,0,0,1100,26.6
,Magpul MOE SUMMED,11,0.27,-1,0,0,0,0,0,0,0,1200,6.4,0,18,0.27,-10,-10,0,0,0,0,0,0,1200,26.6
,,,,,,,,,,,,,,,,,,,,,,,,,,
,note: summed just means the relevant parts of one attachment option added together. don't edit the summed stats. edit the actual attachments and use summed stats (especially strength scores) as a guide,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
mp133_153_wooden_stock,MP-133/153 Wooden,6,0.25,-4,-3,,,,,,,0,6,,6,0.25,-4,-3,,,,,,,0,6
mp133_153_plastic_stock,MP-133/153 Plastic,4,0.2,-5,-3,,,,,,,600,5.8,,4,0.2,-5,-3,,,,,,,600,5.8
delta_tek_plank,Delta-Tek,-2,0.05,-5,-3,,,,,,,600,2.8,,-2,0.05,-1,-1,,,,,,,600,-1.6
mp133_153_plastic_pistol_grip,MP-133/153 Plastic,12,0.07,2,5,,,,,,,1000,6,,6,0.07,0,0,,,,,,,1000,4.6
