,,old,,,,,,,,,,,,,new,,,,,,,,,,,
name,pretty_name,ergonomics_old,weight_old,horizontal_recoil_old,vertical_recoil_old,magazine_capacity_old,bullet_deviation_old,bullet_damage_old,bullet_velocity_old,buck_bullet_deviation_old,fire_rate_old,price_old,strength_old,,ergonomics,weight,horizontal_recoil,vertical_recoil,magazine_capacity,bullet_deviation,bullet_damage,bullet_velocity,buck_bullet_deviation,fire_rate,price,strength
r870_std_receiver,Standard Remington Model 870,0,0.32,0,0,,,,,,,500,-6.4,,0,0.4,0,0,,,,,,,500,-8
r870_serbu_shorty_receiver,Remington Serbu Shorty,6,0.3,0,1,-2,,,,,,1000,-0.6,,4,0.38,2,2,-2,,,,,,1000,-6.4
remington_870_mod_rmp3_receiver,Remington 870 Modified RMP3 Receiver,-3,0.35,-1,,,,,,,,800,-9.2,,-2,0.43,-1,0,,,,,,,800,-9.8
,,,,,,,,,,,,,0,,,,,,,,,,,,,0
r870_325mm_sawn_off,Sawn Off Smoothbore 325mm,4,0.21,4,4,,0.1,-0.1,0,-0.3,,1200,-7.3,,4,0.37,4,4,,0.1,-0.1,0,-0.3,,1200,-10.5
r870_325mm_sawn_off_vent_ribs,Sawn Off 325mm Smoothbore With Vent Ribs,4.5,0.25,4,4,,0.1,-0.1,0,0.2,,1200,-7.6,,4.5,0.41,4,4,,0.1,-0.1,0,0.2,,1200,-10.8
r870_508mm,Remington 508mm Smoothbore,3,0.48,0,0,,0,0,100,0,,1000,-6.266666667,,3,0.64,0,0,,0,0,100,0,,1000,-9.466666667
r870_660mm_barrel_vent_ribs,Remington 660mm Smoothbore With Vent Ribs,2,0.56,-1,-1,,-0.1,0.05,200,0.5,,1500,-6.133333333,,2,0.72,-1,-1,,-0.1,0.05,200,0.5,,1500,-9.333333333
r870_711mm_barrel_vent_ribs,Remington 711mm Smoothbore With Vent Ribs,1,0.64,-2,-2,,-0.15,0.1,250,-0.15,,1750,-6.416666667,,1,0.8,-2,-2,,-0.15,0.1,250,-0.15,,1750,-9.616666667
r870_762mm_barrel_vent_ribs,Remington 762mm Smoothbore With Vent Ribs,0.5,0.7,-2.5,-2.5,,-0.2,0.15,300,0,,2000,-6.5,,0.5,0.86,-2.5,-2.5,,-0.2,0.15,300,0,,2000,-9.7
r870_864mm_barrel_vent_ribs,Remington 864mm Smoothbore With Vent Ribs,0,0.84,-4,-4,,-0.3,0.2,400,-0.3,,3500,-6.366666667,,0,1,-4,-4,,-0.3,0.2,400,-0.3,,3500,-9.566666667
r870_211mm_sawn_off,Sawn Off Smoothbore 211mm,5,0.16,5,5,,0.2,-0.2,-100,0.2,,1000,-8.533333333,,5,0.32,5,5,,0.2,-0.2,-100,0.2,,1000,-11.73333333
r870_508mm_fixed_sight,Remington 508mm Smoothbore With Fixed Sight,3.5,0.5,0,0,,0,0,100,0,,1100,-6.166666667,,3.5,0.66,0,0,,0,0,100,0,,1100,-9.366666667
carlson_slug_610mm_cantilever,Carlson's Slug 610mm w/ cantilever,1,0.56,-2,-1,,-0.5,0.1,300,0.5,,2500,-3.5,,-1,0.72,-2,-1,,-0.5,0.1,300,0.5,,2500,-8.7
,,,,,,,,,,,,,0,,,,,,,,,,,,,0
mp_133_510mm_rib_barrel,510mm Rib,0,0.5,0,0,,0,0,50,0,,1000,-9.833333333,,0,0.66,0,0,,0,0,50,0,,1000,-13.03333333
mp_133_540mm_barrel,540mm,0,0.53,-1,-1,,-0.02,0.02,100,-0.1,,1100,-8.566666667,,0,0.69,-1,-1,,-0.02,0.02,100,-0.1,,1100,-11.76666667
mp_133_540mm_rib_barrel,540mm Rib,-1,0.55,-1,-1,,-0.02,0.02,100,-0.1,,1100,-9.966666667,,-1,0.71,-1,-1,,-0.02,0.02,100,-0.1,,1100,-13.16666667
mp_133_610mm_barrel,610mm,-3,0.6,-3,-3,,-0.05,0.05,150,-0.15,,1300,-9.55,,-3,0.76,-3,-3,,-0.05,0.05,150,-0.15,,1300,-12.75
mp_133_610mm_rib_barrel,610mm Rib,-4,0.62,-3,-3,,-0.05,0.05,150,-0.15,,1300,-10.95,,-4,0.78,-3,-3,,-0.05,0.05,150,-0.15,,1300,-14.15
mp_133_660mm_barrel,660mm,-5,0.65,-4,-4,,-0.1,0.1,200,-0.2,,1400,-10.23333333,,-5,0.81,-4,-4,,-0.1,0.1,200,-0.2,,1400,-13.43333333
mp_133_660mm_rib_barrel,660mm Rib,-6,0.67,-4,-4,,-0.1,0.1,200,-0.2,,1400,-11.63333333,,-6,0.83,-4,-4,,-0.1,0.1,200,-0.2,,1400,-14.83333333
mp_133_710mm_barrel,710mm,-7,0.7,-6,-6,,-0.15,0.15,250,-0.25,,1500,-9.516666667,,-7,0.86,-6,-6,,-0.15,0.15,250,-0.25,,1500,-12.71666667
mp_133_710mm_rib_barrel,710mm Rib,-8,0.72,-6,-6,,-0.15,0.15,250,-0.25,,1500,-10.91666667,,-8,0.88,-6,-6,,-0.15,0.15,250,-0.25,,1500,-14.11666667
mp_133_750mm_rib_barrel,750mm Rib,-10,0.76,-7,-7,,-0.2,0.2,300,-0.3,,1600,-11.4,,-10,0.92,-7,-7,,-0.2,0.2,300,-0.3,,1600,-14.6
mp_133_sawn_off_340mm_barrel,Sawn off 340mm,4,0.22,3,3,,0.2,-0.2,-100,0.3,,1200,-7.933333333,,4,0.38,3,3,,0.2,-0.2,-100,0.3,,1200,-11.13333333
mp_133_510mm_barrel,510mm,1,0.48,0,0,,0,0,50,0,,1000,-8.433333333,,1,0.64,0,0,,0,0,50,0,,1000,-11.63333333
mp_133_750mm_barrel,750mm,-9,0.74,-7,-7,,-0.2,0.2,300,-0.3,,1600,-10,,-9,0.9,-7,-7,,-0.2,0.2,300,-0.3,,1600,-13.2
,,,,,,,,,,,,,0,,,,,,,,,,,,,0
mp133_std_receiver,MP-133 Std.,0,0.31,0,0,,,,,,,0,-6.2,,0,0.39,0,0,,,,,,,0,-7.8
